Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,536.25
1_2_2012-11-02,536.25
1_3_2012-11-02,536.25
1_4_2012-11-02,536.25
1_5_2012-11-02,536.25
1_6_2012-11-02,536.25
1_7_2012-11-02,536.25
1_8_2012-11-02,536.25
1_9_2012-11-02,536.25
1_10_2012-11-02,536.25
1_11_2012-11-02,536.25
1_12_2012-11-02,536.25
1_13_2012-11-02,536.25
1_14_2012-11-02,536.25
1_16_2012-11-02,536.25
1_17_2012-11-02,536.25
1_18_2012-11-02,536.25
1_19_2012-11-02,536.25
1_20_2012-11-02,536.25
1_21_2012-11-02,536.25
1_22_2012-11-02,536.25
1_23_2012-11-02,536.25
1_24_2012-11-02,536.25
1_25_2012-11-02,536.25
1_26_2012-11-02,536.25
1_27_2012-11-02,536.25
1_28_2012-11-02,536.25
1_29_2012-11-02,536.25
1_30_2012-11-02,536.25
1_31_2012-11-02,536.25
1_32_2012-11-02,536.25
1_33_2012-11-02,536.25
1_34_2012-11-02,536.25
1_35_2012-11-02,536.25
1_36_2012-11-02,536.25
1_37_2012-11-02,536.25
1_38_2012-11-02,536.25
1_40_2012-11-02,536.25
1_41_2012-11-02,536.25
1_42_2012-11-02,536.25
1_44_2012-11-02,536.25
1_46_2012-11-02,536.25
1_48_2012-11-02,536.25
1_49_2012-11-02,536.25
1_52_2012-11-02,536.25
1_55_2012-11-02,536.25
1_56_2012-11-02,536.25
1_58_2012-11-02,536.25
1_59_2012-11-02,536.25
1_60_2012-11-02,536.25
1_67_2012-11-02,536.25
1_71_2012-11-02,536.25
1_72_2012-11-02,536.25
1_74_2012-11-02,536.25
1_79_2012-11-02,536.25
1_80_2012-11-02,536.25
1_81_2012-11-02,536.25
1_82_2012-11-02,536.25
1_83_2012-11-02,536.25
1_85_2012-11-02,536.25
1_87_2012-11-02,536.25
1_90_2012-11-02,536.25
1_91_2012-11-02,536.25
1_92_2012-11-02,536.25
1_93_2012-11-02,536.25
1_94_2012-11-02,536.25
1_95_2012-11-02,536.25
1_96_2012-11-02,536.25
1_97_2012-11-02,536.25
1_98_2012-11-02,536.25
1_99_2012-11-02,536.25
1_1_2012-11-09,536.25
1_2_2012-11-09,536.25
1_3_2012-11-09,536.25
1_4_2012-11-09,536.25
1_5_2012-11-09,536.25
1_6_2012-11-09,536.25
1_7_2012-11-09,536.25
1_8_2012-11-09,536.25
1_9_2012-11-09,536.25
1_10_2012-11-09,536.25
1_11_2012-11-09,536.25
1_12_2012-11-09,536.25
1_13_2012-11-09,536.25
1_14_2012-11-09,536.25
1_16_2012-11-09,536.25
1_17_2012-11-09,536.25
1_18_2012-11-09,536.25
1_19_2012-11-09,536.25
1_20_2012-11-09,536.25
1_21_2012-11-09,536.25
1_22_2012-11-09,536.25
1_23_2012-11-09,536.25
1_24_2012-11-09,536.25
1_25_2012-11-09,536.25
1_26_2012-11-09,536.25
1_27_2012-11-09,536.25
1_28_2012-11-09,536.25
1_29_2012-11-09,536.25
1_30_2012-11-09,536.25
1_31_2012-11-09,536.25
1_32_2012-11-09,536.25
1_33_2012-11-09,536.25
1_34_2012-11-09,536.25
1_35_2012-11-09,536.25
1_36_2012-11-09,536.25
1_37_2012-11-09,536.25
1_38_2012-11-09,536.25
1_40_2012-11-09,536.25
1_41_2012-11-09,536.25
1_42_2012-11-09,536.25
1_44_2012-11-09,536.25
1_46_2012-11-09,536.25
1_48_2012-11-09,536.25
1_49_2012-11-09,536.25
1_52_2012-11-09,536.25
1_55_2012-11-09,536.25
1_56_2012-11-09,536.25
1_58_2012-11-09,536.25
1_59_2012-11-09,536.25
1_60_2012-11-09,536.25
1_67_2012-11-09,536.25
1_71_2012-11-09,536.25
1_72_2012-11-09,536.25
1_74_2012-11-09,536.25
1_79_2012-11-09,536.25
1_80_2012-11-09,536.25
1_81_2012-11-09,536.25
1_82_2012-11-09,536.25
1_83_2012-11-09,536.25
1_85_2012-11-09,536.25
1_87_2012-11-09,536.25
1_90_2012-11-09,536.25
1_91_2012-11-09,536.25
1_92_2012-11-09,536.25
1_93_2012-11-09,536.25
1_94_2012-11-09,536.25
1_95_2012-11-09,536.25
1_96_2012-11-09,536.25
1_97_2012-11-09,536.25
1_98_2012-11-09,536.25
1_99_2012-11-09,536.25
1_1_2012-11-16,2417.5
1_2_2012-11-16,2417.5
1_3_2012-11-16,2417.5
1_4_2012-11-16,2417.5
1_5_2012-11-16,2417.5
1_6_2012-11-16,2417.5
1_7_2012-11-16,2417.5
1_8_2012-11-16,2417.5
1_9_2012-11-16,2417.5
1_10_2012-11-16,2417.5
1_11_2012-11-16,2417.5
1_12_2012-11-16,2417.5
1_13_2012-11-16,2417.5
1_14_2012-11-16,2417.5
1_16_2012-11-16,2417.5
1_17_2012-11-16,2417.5
1_18_2012-11-16,2417.5
1_19_2012-11-16,2417.5
1_20_2012-11-16,2417.5
1_21_2012-11-16,2417.5
1_22_2012-11-16,2417.5
1_23_2012-11-16,2417.5
1_24_2012-11-16,2417.5
1_25_2012-11-16,2417.5
1_26_2012-11-16,2417.5
1_27_2012-11-16,2417.5
1_28_2012-11-16,2417.5
1_29_2012-11-16,2417.5
1_30_2012-11-16,2417.5
1_31_2012-11-16,2417.5
1_32_2012-11-16,2417.5
1_33_2012-11-16,2417.5
1_34_2012-11-16,2417.5
1_35_2012-11-16,2417.5
1_36_2012-11-16,2417.5
1_37_2012-11-16,2417.5
1_38_2012-11-16,2417.5
1_40_2012-11-16,2417.5
1_41_2012-11-16,2417.5
1_42_2012-11-16,2417.5
1_44_2012-11-16,2417.5
1_46_2012-11-16,2417.5
1_48_2012-11-16,2417.5
1_49_2012-11-16,2417.5
1_52_2012-11-16,2417.5
1_54_2012-11-16,2417.5
1_55_2012-11-16,2417.5
1_56_2012-11-16,2417.5
1_58_2012-11-16,2417.5
1_59_2012-11-16,2417.5
1_60_2012-11-16,2417.5
1_67_2012-11-16,2417.5
1_71_2012-11-16,2417.5
1_72_2012-11-16,2417.5
1_74_2012-11-16,2417.5
1_79_2012-11-16,2417.5
1_80_2012-11-16,2417.5
1_81_2012-11-16,2417.5
1_82_2012-11-16,2417.5
1_83_2012-11-16,2417.5
1_85_2012-11-16,2417.5
1_87_2012-11-16,2417.5
1_90_2012-11-16,2417.5
1_91_2012-11-16,2417.5
1_92_2012-11-16,2417.5
1_93_2012-11-16,2417.5
1_94_2012-11-16,2417.5
1_95_2012-11-16,2417.5
1_96_2012-11-16,2417.5
1_97_2012-11-16,2417.5
1_98_2012-11-16,2417.5
1_1_2012-11-23,2417.5
1_2_2012-11-23,2417.5
1_3_2012-11-23,2417.5
1_4_2012-11-23,2417.5
1_5_2012-11-23,2417.5
1_6_2012-11-23,2417.5
1_7_2012-11-23,2417.5
1_8_2012-11-23,2417.5
1_9_2012-11-23,2417.5
1_10_2012-11-23,2417.5
1_11_2012-11-23,2417.5
1_12_2012-11-23,2417.5
1_13_2012-11-23,2417.5
1_14_2012-11-23,2417.5
1_16_2012-11-23,2417.5
1_17_2012-11-23,2417.5
1_18_2012-11-23,2417.5
1_19_2012-11-23,2417.5
1_20_2012-11-23,2417.5
1_21_2012-11-23,2417.5
1_22_2012-11-23,2417.5
1_23_2012-11-23,2417.5
1_24_2012-11-23,2417.5
1_25_2012-11-23,2417.5
1_26_2012-11-23,2417.5
1_27_2012-11-23,2417.5
1_28_2012-11-23,2417.5
1_29_2012-11-23,2417.5
1_30_2012-11-23,2417.5
1_31_2012-11-23,2417.5
1_32_2012-11-23,2417.5
1_33_2012-11-23,2417.5
1_34_2012-11-23,2417.5
1_35_2012-11-23,2417.5
1_36_2012-11-23,2417.5
1_37_2012-11-23,2417.5
1_38_2012-11-23,2417.5
1_40_2012-11-23,2417.5
1_41_2012-11-23,2417.5
1_42_2012-11-23,2417.5
1_44_2012-11-23,2417.5
1_46_2012-11-23,2417.5
1_48_2012-11-23,2417.5
1_49_2012-11-23,2417.5
1_52_2012-11-23,2417.5
1_54_2012-11-23,2417.5
1_55_2012-11-23,2417.5
1_56_2012-11-23,2417.5
1_58_2012-11-23,2417.5
1_59_2012-11-23,2417.5
1_60_2012-11-23,2417.5
1_67_2012-11-23,2417.5
1_71_2012-11-23,2417.5
1_72_2012-11-23,2417.5
1_74_2012-11-23,2417.5
1_79_2012-11-23,2417.5
1_80_2012-11-23,2417.5
1_81_2012-11-23,2417.5
1_82_2012-11-23,2417.5
1_83_2012-11-23,2417.5
1_85_2012-11-23,2417.5
1_87_2012-11-23,2417.5
1_90_2012-11-23,2417.5
1_91_2012-11-23,2417.5
1_92_2012-11-23,2417.5
1_93_2012-11-23,2417.5
1_94_2012-11-23,2417.5
1_95_2012-11-23,2417.5
1_96_2012-11-23,2417.5
1_97_2012-11-23,2417.5
1_98_2012-11-23,2417.5
1_99_2012-11-23,2417.5
1_1_2012-11-30,2417.5
1_2_2012-11-30,2417.5
1_3_2012-11-30,2417.5
1_4_2012-11-30,2417.5
1_5_2012-11-30,2417.5
1_6_2012-11-30,2417.5
1_7_2012-11-30,2417.5
1_8_2012-11-30,2417.5
1_9_2012-11-30,2417.5
1_10_2012-11-30,2417.5
1_11_2012-11-30,2417.5
1_12_2012-11-30,2417.5
1_13_2012-11-30,2417.5
1_14_2012-11-30,2417.5
1_16_2012-11-30,2417.5
1_17_2012-11-30,2417.5
1_18_2012-11-30,2417.5
1_19_2012-11-30,2417.5
1_20_2012-11-30,2417.5
1_21_2012-11-30,2417.5
1_22_2012-11-30,2417.5
1_23_2012-11-30,2417.5
1_24_2012-11-30,2417.5
1_25_2012-11-30,2417.5
1_26_2012-11-30,2417.5
1_27_2012-11-30,2417.5
1_28_2012-11-30,2417.5
1_29_2012-11-30,2417.5
1_30_2012-11-30,2417.5
1_31_2012-11-30,2417.5
1_32_2012-11-30,2417.5
1_33_2012-11-30,2417.5
1_34_2012-11-30,2417.5
1_35_2012-11-30,2417.5
1_36_2012-11-30,2417.5
1_37_2012-11-30,2417.5
1_38_2012-11-30,2417.5
1_40_2012-11-30,2417.5
1_41_2012-11-30,2417.5
1_42_2012-11-30,2417.5
1_44_2012-11-30,2417.5
1_45_2012-11-30,2417.5
1_46_2012-11-30,2417.5
1_48_2012-11-30,2417.5
1_49_2012-11-30,2417.5
1_52_2012-11-30,2417.5
1_54_2012-11-30,2417.5
1_55_2012-11-30,2417.5
1_56_2012-11-30,2417.5
1_58_2012-11-30,2417.5
1_59_2012-11-30,2417.5
1_60_2012-11-30,2417.5
1_67_2012-11-30,2417.5
1_71_2012-11-30,2417.5
1_72_2012-11-30,2417.5
1_74_2012-11-30,2417.5
1_79_2012-11-30,2417.5
1_80_2012-11-30,2417.5
1_81_2012-11-30,2417.5
1_82_2012-11-30,2417.5
1_83_2012-11-30,2417.5
1_85_2012-11-30,2417.5
1_87_2012-11-30,2417.5
1_90_2012-11-30,2417.5
1_91_2012-11-30,2417.5
1_92_2012-11-30,2417.5
1_93_2012-11-30,2417.5
1_94_2012-11-30,2417.5
1_95_2012-11-30,2417.5
1_96_2012-11-30,2417.5
1_97_2012-11-30,2417.5
1_98_2012-11-30,2417.5
1_99_2012-11-30,2417.5
1_1_2012-12-07,536.25
1_2_2012-12-07,536.25
1_3_2012-12-07,536.25
1_4_2012-12-07,536.25
1_5_2012-12-07,536.25
1_6_2012-12-07,536.25
1_7_2012-12-07,536.25
1_8_2012-12-07,536.25
1_9_2012-12-07,536.25
1_10_2012-12-07,536.25
1_11_2012-12-07,536.25
1_12_2012-12-07,536.25
1_13_2012-12-07,536.25
1_14_2012-12-07,536.25
1_16_2012-12-07,536.25
1_17_2012-12-07,536.25
1_18_2012-12-07,536.25
1_19_2012-12-07,536.25
1_20_2012-12-07,536.25
1_21_2012-12-07,536.25
1_22_2012-12-07,536.25
1_23_2012-12-07,536.25
1_24_2012-12-07,536.25
1_25_2012-12-07,536.25
1_26_2012-12-07,536.25
1_27_2012-12-07,536.25
1_28_2012-12-07,536.25
1_29_2012-12-07,536.25
1_30_2012-12-07,536.25
1_31_2012-12-07,536.25
1_32_2012-12-07,536.25
1_33_2012-12-07,536.25
1_34_2012-12-07,536.25
1_35_2012-12-07,536.25
1_36_2012-12-07,536.25
1_37_2012-12-07,536.25
1_38_2012-12-07,536.25
1_40_2012-12-07,536.25
1_41_2012-12-07,536.25
1_42_2012-12-07,536.25
1_44_2012-12-07,536.25
1_45_2012-12-07,536.25
1_46_2012-12-07,536.25
1_48_2012-12-07,536.25
1_49_2012-12-07,536.25
1_52_2012-12-07,536.25
1_54_2012-12-07,536.25
1_55_2012-12-07,536.25
1_56_2012-12-07,536.25
1_58_2012-12-07,536.25
1_59_2012-12-07,536.25
1_60_2012-12-07,536.25
1_67_2012-12-07,536.25
1_71_2012-12-07,536.25
1_72_2012-12-07,536.25
1_74_2012-12-07,536.25
1_79_2012-12-07,536.25
1_80_2012-12-07,536.25
1_81_2012-12-07,536.25
1_82_2012-12-07,536.25
1_83_2012-12-07,536.25
1_85_2012-12-07,536.25
1_87_2012-12-07,536.25
1_90_2012-12-07,536.25
1_91_2012-12-07,536.25
